att_date,[01]usi_id,[01]grade_level,[156]att_code,[156]description,Campus
9/11/2014,7553569851,5,P,Present and On Time,WP
9/11/2014,3753998982,5,P,Present and On Time,WP
9/11/2014,3753998982,5,P,Present and On Time,WP
9/11/2014,6587804368,5,P,Present and On Time,WP
9/11/2014,6587804368,5,P,Present and On Time,WP
9/11/2014,3177108226,5,P,Present and On Time,WP
9/11/2014,3177108226,5,P,Present and On Time,WP
9/11/2014,2507400061,5,P,Present and On Time,WP
9/11/2014,2507400061,5,P,Present and On Time,WP
9/11/2014,3684336127,5,P,Present and On Time,WP
9/11/2014,3684336127,5,P,Present and On Time,WP
9/11/2014,9959422808,5,P,Present and On Time,WP
9/11/2014,9959422808,5,P,Present and On Time,WP
9/11/2014,7468243325,5,A,Absent,WP
9/11/2014,7468243325,5,A,Absent,WP
9/11/2014,6416232013,5,P,Present and On Time,WP
9/11/2014,6416232013,5,P,Present and On Time,WP
9/11/2014,1962322866,5,P,Present and On Time,WP
9/11/2014,1962322866,5,P,Present and On Time,WP
9/11/2014,1717345493,5,P,Present and On Time,WP
9/11/2014,1717345493,5,P,Present and On Time,WP
9/11/2014,9127766851,5,P,Present and On Time,WP
9/11/2014,9127766851,5,P,Present and On Time,WP
9/11/2014,2929745902,5,P,Present and On Time,WP
9/11/2014,2929745902,5,P,Present and On Time,WP
9/11/2014,4458932391,5,P,Present and On Time,WP
9/11/2014,4458932391,5,P,Present and On Time,WP
9/11/2014,9363138518,5,P,Present and On Time,WP
9/11/2014,9363138518,5,P,Present and On Time,WP
9/11/2014,8631417261,5,P,Present and On Time,WP
9/11/2014,8631417261,5,P,Present and On Time,WP
9/11/2014,6706155242,6,P,Present and On Time,WP
9/11/2014,6706155242,6,P,Present and On Time,WP
9/11/2014,1259072241,6,P,Present and On Time,WP
9/11/2014,1259072241,6,P,Present and On Time,WP
9/11/2014,2328020905,6,P,Present and On Time,WP
9/11/2014,2328020905,6,P,Present and On Time,WP
9/11/2014,8443090560,6,P,Present and On Time,WP
9/11/2014,8443090560,6,P,Present and On Time,WP
9/11/2014,2736160729,6,P,Present and On Time,WP
9/11/2014,2736160729,6,P,Present and On Time,WP
9/11/2014,8499155270,6,P,Present and On Time,WP
9/11/2014,8499155270,6,P,Present and On Time,WP
9/11/2014,8612034648,6,P,Present and On Time,WP
9/11/2014,8612034648,6,P,Present and On Time,WP
9/11/2014,4141364915,6,P,Present and On Time,WP
9/11/2014,4141364915,6,P,Present and On Time,WP
9/11/2014,7743524833,6,P,Present and On Time,WP
9/11/2014,7743524833,6,P,Present and On Time,WP
9/11/2014,4287800793,6,P,Present and On Time,WP
9/11/2014,4287800793,6,P,Present and On Time,WP
9/11/2014,4615325797,6,P,Present and On Time,WP
9/11/2014,4615325797,6,P,Present and On Time,WP
9/11/2014,7796719849,6,P,Present and On Time,WP
9/11/2014,7796719849,6,P,Present and On Time,WP
9/11/2014,1196969878,6,P,Present and On Time,WP
9/11/2014,1196969878,6,P,Present and On Time,WP
9/11/2014,3847113201,6,P,Present and On Time,WP
9/11/2014,3847113201,6,P,Present and On Time,WP
9/11/2014,5363298427,6,P,Present and On Time,WP
9/11/2014,5363298427,6,P,Present and On Time,WP
9/11/2014,3829501057,6,P,Present and On Time,WP
9/11/2014,3829501057,6,P,Present and On Time,WP
9/11/2014,4967182957,6,P,Present and On Time,WP
9/11/2014,4967182957,6,P,Present and On Time,WP
9/11/2014,7314168423,6,P,Present and On Time,WP
9/11/2014,7314168423,6,P,Present and On Time,WP
9/11/2014,9755962697,6,P,Present and On Time,WP
9/11/2014,9755962697,6,P,Present and On Time,WP
9/11/2014,7463043388,6,P,Present and On Time,WP
9/11/2014,7463043388,6,P,Present and On Time,WP
9/11/2014,4146378672,6,P,Present and On Time,WP
9/11/2014,4146378672,6,P,Present and On Time,WP
9/11/2014,3389768369,6,P,Present and On Time,WP
9/11/2014,3389768369,6,P,Present and On Time,WP
9/11/2014,3189547165,6,P,Present and On Time,WP
9/11/2014,3189547165,6,P,Present and On Time,WP
9/11/2014,8970376225,6,P,Present and On Time,WP
9/11/2014,8970376225,6,P,Present and On Time,WP
9/11/2014,6645807324,6,P,Present and On Time,WP
9/11/2014,6645807324,6,P,Present and On Time,WP
9/11/2014,6582303109,6,P,Present and On Time,WP
9/11/2014,6582303109,6,P,Present and On Time,WP
9/11/2014,8407188098,6,P,Present and On Time,WP
9/11/2014,8407188098,6,P,Present and On Time,WP
9/11/2014,3226786876,8,P,Present and On Time,WP
9/11/2014,3226786876,8,P,Present and On Time,WP
9/11/2014,1941923535,8,P,Present and On Time,WP
9/11/2014,1941923535,8,P,Present and On Time,WP
9/11/2014,4949794766,8,P,Present and On Time,WP
9/11/2014,4949794766,8,P,Present and On Time,WP
9/11/2014,5137463925,8,P,Present and On Time,WP
9/11/2014,5137463925,8,P,Present and On Time,WP
9/11/2014,8453862588,8,P,Present and On Time,WP
9/11/2014,8453862588,8,P,Present and On Time,WP
9/11/2014,1136127828,8,P,Present and On Time,WP
9/11/2014,1136127828,8,P,Present and On Time,WP
9/11/2014,6368435941,8,P,Present and On Time,WP
9/11/2014,6368435941,8,P,Present and On Time,WP
9/11/2014,9616755767,8,P,Present and On Time,WP
9/11/2014,9616755767,8,P,Present and On Time,WP
9/11/2014,7576233527,8,P,Present and On Time,WP
9/11/2014,7576233527,8,P,Present and On Time,WP
9/11/2014,2183562965,8,P,Present and On Time,WP
